loss,mae,val_loss,val_mae,learning_rate
0.19019685685634613,0.3728131949901581,0.07339509576559067,0.2189655750989914,0.0005000000237487257
0.0641467347741127,0.2096705585718155,0.07464249432086945,0.23215708136558533,0.0005000000237487257
0.074934221804142,0.22885818779468536,0.06372857838869095,0.21393199265003204,0.0005000000237487257
0.056933898478746414,0.1973363757133484,0.036462150514125824,0.15720148384571075,0.0005000000237487257
0.03873873129487038,0.15946108102798462,0.030084827914834023,0.13942117989063263,0.0005000000237487257
0.033421069383621216,0.14489227533340454,0.020906271412968636,0.11359919607639313,0.0005000000237487257
0.02418043464422226,0.12262171506881714,0.018637750297784805,0.10813100636005402,0.0005000000237487257
0.025051066651940346,0.12471289187669754,0.015932323411107063,0.09713087230920792,0.0005000000237487257
0.023022087290883064,0.12031165510416031,0.017417360097169876,0.1064576730132103,0.0005000000237487257
0.024321038275957108,0.12311891466379166,0.01487334631383419,0.09545209258794785,0.0005000000237487257
0.0192820206284523,0.11068856716156006,0.014109669253230095,0.09163165092468262,0.0005000000237487257
0.01982860080897808,0.11005715280771255,0.01361797470599413,0.09095342457294464,0.0005000000237487257
0.018522094935178757,0.108009472489357,0.013003317639231682,0.08785413950681686,0.0005000000237487257
0.017697002738714218,0.10317923873662949,0.012705884873867035,0.08734091371297836,0.0005000000237487257
0.017219549044966698,0.1000070720911026,0.012456181459128857,0.08665965497493744,0.0005000000237487257
0.01665559969842434,0.09807402640581131,0.011881854385137558,0.08360506594181061,0.0005000000237487257
0.015858301892876625,0.0964643731713295,0.011507295072078705,0.08217845112085342,0.0005000000237487257
0.016702570021152496,0.09909603744745255,0.011617002077400684,0.08381082117557526,0.0005000000237487257
0.015933256596326828,0.09769170731306076,0.01064375787973404,0.07854372262954712,0.0005000000237487257
0.0177764892578125,0.10170448571443558,0.010669020935893059,0.07916078716516495,0.0005000000237487257
0.015588458627462387,0.09552838653326035,0.01065506786108017,0.07896586507558823,0.0005000000237487257
0.014903794042766094,0.09350597858428955,0.009743263013660908,0.07444559037685394,0.0005000000237487257
0.014481115154922009,0.09262305498123169,0.010083536617457867,0.07652852684259415,0.0005000000237487257
0.012885449454188347,0.08676975965499878,0.009793683886528015,0.07523268461227417,0.0005000000237487257
0.013243800960481167,0.08810337632894516,0.009300075471401215,0.07217998802661896,0.0005000000237487257
0.014752301387488842,0.09610689431428909,0.009778101928532124,0.07491852343082428,0.0005000000237487257
0.013874586671590805,0.08921999484300613,0.009025536477565765,0.07118748128414154,0.0005000000237487257
0.013993590138852596,0.0905781090259552,0.009233791381120682,0.0722944363951683,0.0005000000237487257
0.0135132921859622,0.08805388957262039,0.008883561007678509,0.07069982588291168,0.0005000000237487257
0.01257241889834404,0.08766522258520126,0.009057542309165001,0.07161363214254379,0.0005000000237487257
0.013062144629657269,0.0881628766655922,0.008842594921588898,0.07016722112894058,0.0005000000237487257
0.0131973996758461,0.08950850367546082,0.008769979700446129,0.06963406503200531,0.0005000000237487257
0.01265240740031004,0.0858951210975647,0.008592351339757442,0.06885258853435516,0.0005000000237487257
0.012066190131008625,0.08433858305215836,0.008428066968917847,0.06819872558116913,0.0005000000237487257
0.01207862887531519,0.08524533361196518,0.008746280334889889,0.07031448930501938,0.0005000000237487257
0.012329600751399994,0.08614259213209152,0.009249163791537285,0.07304398715496063,0.0005000000237487257
0.011853477917611599,0.08327818661928177,0.00843806006014347,0.06835456192493439,0.0005000000237487257
0.011592858470976353,0.08389128744602203,0.008804409764707088,0.07048563659191132,0.0005000000237487257
0.011440987698733807,0.08044394105672836,0.00849917158484459,0.06894330680370331,0.0005000000237487257
0.011023585684597492,0.0807754397392273,0.009100829251110554,0.072170190513134,0.0005000000237487257
0.011865772306919098,0.08209333568811417,0.00846339762210846,0.06863535940647125,0.0005000000237487257
0.011638241820037365,0.08296526223421097,0.008861640468239784,0.07061395049095154,0.0005000000237487257
0.011098929680883884,0.08031213283538818,0.009117032401263714,0.07185715436935425,0.0005000000237487257
0.011089665815234184,0.07853125035762787,0.008483417332172394,0.06910444796085358,0.0005000000237487257
0.010478268377482891,0.07981058210134506,0.008982330560684204,0.07135369628667831,0.0002500000118743628
0.010965178720653057,0.07872068881988525,0.008839452639222145,0.0707295760512352,0.0002500000118743628
0.010052885860204697,0.07602054625749588,0.00873514823615551,0.07007472217082977,0.0002500000118743628
0.010557333007454872,0.07863049954175949,0.008641846477985382,0.06948623061180115,0.0002500000118743628
0.010641197673976421,0.07793629169464111,0.008881286717951298,0.07066823542118073,0.0002500000118743628
0.010499097406864166,0.07973407953977585,0.009061828255653381,0.07167772203683853,0.0002500000118743628
0.011279906146228313,0.080664724111557,0.00839572586119175,0.06795006990432739,0.0002500000118743628
0.01075096894055605,0.08086832612752914,0.00907980464398861,0.071776382625103,0.0002500000118743628
0.010562407784163952,0.0783773809671402,0.009000278078019619,0.07143288850784302,0.0002500000118743628
0.010508661158382893,0.07729815691709518,0.008489828556776047,0.06886521726846695,0.0002500000118743628
