features,num_features,val_mae
"iMAG,logSFR22,e_logMsT,Dist,Ai",5,inf
"iMAG,logSFR22,e_logMsT,Dist,surface_brightness_proxy",5,inf
"iMAG,logSFR22,e_logMsT,RVel,Ag",5,inf
"iMAG,logSFR22,e_logMsT,RVel,Ai",5,inf
"iMAG,logSFR22,e_logMsT,RVel,surface_brightness_proxy",5,inf
"iMAG,logSFR22,e_logMsT,Ag,Ai",5,inf
"iMAG,logSFR22,e_logMsT,Ag,surface_brightness_proxy",5,inf
"iMAG,logSFR22,e_logMsT,Ai,surface_brightness_proxy",5,inf
"iMAG,logSFR22,Dist,RVel,Ag",5,inf
"iMAG,logSFR22,Dist,RVel,Ai",5,inf
"iMAG,logSFR22,Dist,RVel,surface_brightness_proxy",5,inf
"iMAG,logSFR22,Dist,Ag,Ai",5,inf
"iMAG,logSFR22,Dist,Ag,surface_brightness_proxy",5,inf
"iMAG,logSFR22,Dist,Ai,surface_brightness_proxy",5,inf
"iMAG,logSFR22,RVel,Ag,Ai",5,inf
"iMAG,logSFR22,RVel,Ag,surface_brightness_proxy",5,inf
"iMAG,logSFR22,RVel,Ai,surface_brightness_proxy",5,inf
"iMAG,logSFR22,Ag,Ai,surface_brightness_proxy",5,inf
"iMAG,e_logMsT,Dist,RVel,Ag",5,inf
"iMAG,e_logMsT,Dist,RVel,Ai",5,inf
"iMAG,e_logMsT,Dist,RVel,surface_brightness_proxy",5,inf
"iMAG,e_logMsT,Dist,Ag,Ai",5,inf
"iMAG,e_logMsT,Dist,Ag,surface_brightness_proxy",5,inf
"iMAG,e_logMsT,Dist,Ai,surface_brightness_proxy",5,inf
"iMAG,e_logMsT,RVel,Ag,Ai",5,inf
"iMAG,e_logMsT,RVel,Ag,surface_brightness_proxy",5,inf
"iMAG,e_logMsT,RVel,Ai,surface_brightness_proxy",5,inf
"iMAG,e_logMsT,Ag,Ai,surface_brightness_proxy",5,inf
"iMAG,Dist,RVel,Ag,Ai",5,inf
"iMAG,Dist,RVel,Ag,surface_brightness_proxy",5,inf
"iMAG,Dist,RVel,Ai,surface_brightness_proxy",5,inf
"iMAG,Dist,Ag,Ai,surface_brightness_proxy",5,inf
"iMAG,RVel,Ag,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,logSFR22,e_logMsT,Dist",5,inf
"e_iMAG,logMsT,logSFR22,e_logMsT,RVel",5,inf
"e_iMAG,logMsT,logSFR22,e_logMsT,Ag",5,inf
"e_iMAG,logMsT,logSFR22,e_logMsT,Ai",5,inf
"e_iMAG,logMsT,logSFR22,e_logMsT,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,logSFR22,Dist,RVel",5,inf
"e_iMAG,logMsT,logSFR22,Dist,Ag",5,inf
"e_iMAG,logMsT,logSFR22,Dist,Ai",5,inf
"e_iMAG,logMsT,logSFR22,Dist,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,logSFR22,RVel,Ag",5,inf
"e_iMAG,logMsT,logSFR22,RVel,Ai",5,inf
"e_iMAG,logMsT,logSFR22,RVel,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,logSFR22,Ag,Ai",5,inf
"e_iMAG,logMsT,logSFR22,Ag,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,logSFR22,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,e_logMsT,Dist,RVel",5,inf
"e_iMAG,logMsT,e_logMsT,Dist,Ag",5,inf
"e_iMAG,logMsT,e_logMsT,Dist,Ai",5,inf
"e_iMAG,logMsT,e_logMsT,Dist,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,e_logMsT,RVel,Ag",5,inf
"e_iMAG,logMsT,e_logMsT,RVel,Ai",5,inf
"e_iMAG,logMsT,e_logMsT,RVel,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,e_logMsT,Ag,Ai",5,inf
"e_iMAG,logMsT,e_logMsT,Ag,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,e_logMsT,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,Dist,RVel,Ag",5,inf
"e_iMAG,logMsT,Dist,RVel,Ai",5,inf
"e_iMAG,logMsT,Dist,RVel,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,Dist,Ag,Ai",5,inf
"e_iMAG,logMsT,Dist,Ag,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,Dist,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,RVel,Ag,Ai",5,inf
"e_iMAG,logMsT,RVel,Ag,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,RVel,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logMsT,Ag,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,e_logMsT,Dist,RVel",5,inf
"e_iMAG,logSFR22,e_logMsT,Dist,Ag",5,inf
"e_iMAG,logSFR22,e_logMsT,Dist,Ai",5,inf
"e_iMAG,logSFR22,e_logMsT,Dist,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,e_logMsT,RVel,Ag",5,inf
"e_iMAG,logSFR22,e_logMsT,RVel,Ai",5,inf
"e_iMAG,logSFR22,e_logMsT,RVel,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,e_logMsT,Ag,Ai",5,inf
"e_iMAG,logSFR22,e_logMsT,Ag,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,e_logMsT,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,Dist,RVel,Ag",5,inf
"e_iMAG,logSFR22,Dist,RVel,Ai",5,inf
"e_iMAG,logSFR22,Dist,RVel,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,Dist,Ag,Ai",5,inf
"e_iMAG,logSFR22,Dist,Ag,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,Dist,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,RVel,Ag,Ai",5,inf
"e_iMAG,logSFR22,RVel,Ag,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,RVel,Ai,surface_brightness_proxy",5,inf
"e_iMAG,logSFR22,Ag,Ai,surface_brightness_proxy",5,inf
"e_iMAG,e_logMsT,Dist,RVel,Ag",5,inf
"e_iMAG,e_logMsT,Dist,RVel,Ai",5,inf
"e_iMAG,e_logMsT,Dist,RVel,surface_brightness_proxy",5,inf
"e_iMAG,e_logMsT,Dist,Ag,Ai",5,inf
"e_iMAG,e_logMsT,Dist,Ag,surface_brightness_proxy",5,inf
"e_iMAG,e_logMsT,Dist,Ai,surface_brightness_proxy",5,inf
"e_iMAG,e_logMsT,RVel,Ag,Ai",5,inf
"e_iMAG,e_logMsT,RVel,Ag,surface_brightness_proxy",5,inf
"e_iMAG,e_logMsT,RVel,Ai,surface_brightness_proxy",5,inf
"e_iMAG,e_logMsT,Ag,Ai,surface_brightness_proxy",5,inf
"e_iMAG,Dist,RVel,Ag,Ai",5,inf
"e_iMAG,Dist,RVel,Ag,surface_brightness_proxy",5,inf
"e_iMAG,Dist,RVel,Ai,surface_brightness_proxy",5,inf
"e_iMAG,Dist,Ag,Ai,surface_brightness_proxy",5,inf
"e_iMAG,RVel,Ag,Ai,surface_brightness_proxy",5,inf
"logMsT,logSFR22,e_logMsT,Dist,RVel",5,inf
"logMsT,logSFR22,e_logMsT,Dist,Ag",5,inf
"logMsT,logSFR22,e_logMsT,Dist,Ai",5,inf
"logMsT,logSFR22,e_logMsT,Dist,surface_brightness_proxy",5,inf
"logMsT,logSFR22,e_logMsT,RVel,Ag",5,inf
"logMsT,logSFR22,e_logMsT,RVel,Ai",5,inf
"logMsT,logSFR22,e_logMsT,RVel,surface_brightness_proxy",5,inf
"logMsT,logSFR22,e_logMsT,Ag,Ai",5,inf
"logMsT,logSFR22,e_logMsT,Ag,surface_brightness_proxy",5,inf
"logMsT,logSFR22,e_logMsT,Ai,surface_brightness_proxy",5,inf
"logMsT,logSFR22,Dist,RVel,Ag",5,inf
"logMsT,logSFR22,Dist,RVel,Ai",5,inf
"logMsT,logSFR22,Dist,RVel,surface_brightness_proxy",5,inf
"logMsT,logSFR22,Dist,Ag,Ai",5,inf
"logMsT,logSFR22,Dist,Ag,surface_brightness_proxy",5,inf
"logMsT,logSFR22,Dist,Ai,surface_brightness_proxy",5,inf
"logMsT,logSFR22,RVel,Ag,Ai",5,inf
"logMsT,logSFR22,RVel,Ag,surface_brightness_proxy",5,inf
"logMsT,logSFR22,RVel,Ai,surface_brightness_proxy",5,inf
"logMsT,logSFR22,Ag,Ai,surface_brightness_proxy",5,inf
"logMsT,e_logMsT,Dist,RVel,Ag",5,inf
"logMsT,e_logMsT,Dist,RVel,Ai",5,inf
"logMsT,e_logMsT,Dist,RVel,surface_brightness_proxy",5,inf
"logMsT,e_logMsT,Dist,Ag,Ai",5,inf
"logMsT,e_logMsT,Dist,Ag,surface_brightness_proxy",5,inf
"logMsT,e_logMsT,Dist,Ai,surface_brightness_proxy",5,inf
"logMsT,e_logMsT,RVel,Ag,Ai",5,inf
"logMsT,e_logMsT,RVel,Ag,surface_brightness_proxy",5,inf
"logMsT,e_logMsT,RVel,Ai,surface_brightness_proxy",5,inf
"logMsT,e_logMsT,Ag,Ai,surface_brightness_proxy",5,inf
"logMsT,Dist,RVel,Ag,Ai",5,inf
"logMsT,Dist,RVel,Ag,surface_brightness_proxy",5,inf
"logMsT,Dist,RVel,Ai,surface_brightness_proxy",5,inf
"logMsT,Dist,Ag,Ai,surface_brightness_proxy",5,inf
"logMsT,RVel,Ag,Ai,surface_brightness_proxy",5,inf
"logSFR22,e_logMsT,Dist,RVel,Ag",5,inf
"logSFR22,e_logMsT,Dist,RVel,Ai",5,inf
"logSFR22,e_logMsT,Dist,RVel,surface_brightness_proxy",5,inf
"logSFR22,e_logMsT,Dist,Ag,Ai",5,inf
"logSFR22,e_logMsT,Dist,Ag,surface_brightness_proxy",5,inf
"logSFR22,e_logMsT,Dist,Ai,surface_brightness_proxy",5,inf
"logSFR22,e_logMsT,RVel,Ag,Ai",5,inf
"logSFR22,e_logMsT,RVel,Ag,surface_brightness_proxy",5,inf
"logSFR22,e_logMsT,RVel,Ai,surface_brightness_proxy",5,inf
"logSFR22,e_logMsT,Ag,Ai,surface_brightness_proxy",5,inf
"logSFR22,Dist,RVel,Ag,Ai",5,inf
"logSFR22,Dist,RVel,Ag,surface_brightness_proxy",5,inf
"logSFR22,Dist,RVel,Ai,surface_brightness_proxy",5,inf
"logSFR22,Dist,Ag,Ai,surface_brightness_proxy",5,inf
"logSFR22,RVel,Ag,Ai,surface_brightness_proxy",5,inf
"e_logMsT,Dist,RVel,Ag,Ai",5,inf
"e_logMsT,Dist,RVel,Ag,surface_brightness_proxy",5,inf
"e_logMsT,Dist,RVel,Ai,surface_brightness_proxy",5,inf
"e_logMsT,Dist,Ag,Ai,surface_brightness_proxy",5,inf
"e_logMsT,RVel,Ag,Ai,surface_brightness_proxy",5,inf
"Dist,RVel,Ag,Ai,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logMsT,logSFR22,e_logMsT,Dist",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,e_logMsT,RVel",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,e_logMsT,Ag",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,e_logMsT,Ai",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,e_logMsT,surface_brightness_proxy",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,Dist,RVel",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,Dist,Ag",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,Dist,Ai",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,Dist,surface_brightness_proxy",6,inf
"iMAG,e_iMAG,logMsT,logSFR22,RVel,Ag",6,inf
