iMAG,Ag,logSFR22,logMsT,RVel,Ai,logMHI,Dist,surface_brightness_proxy,e_logMsT,e_iMAG
-17.58,0.0,-2.49,8.63,4355,0.08,9.02,60.3,-16.516830661489138,0.1,0.12
-20.93,0.88,-0.46,10.07,12212,0.52,10.02,169.8,-20.5805951440621,0.27,0.25
-19.56,0.68,-0.57,9.51,12099,0.37,9.82,168.2,-18.27794093392834,0.06,0.07
-20.47,0.78,-0.1,10.21,12509,0.5,9.66,174.1,-19.48989478055994,0.11,0.1
-21.0,1.04,0.26,10.02,11868,0.58,9.7,164.9,-19.920543958936154,0.09,0.09
-20.68,0.81,-0.06,9.9,16524,0.49,10.26,231.5,-20.39667828673249,0.29,0.28
-18.95,0.53,-0.57,9.07,11823,0.29,9.67,164.3,-17.267638816893935,0.03,0.04
-20.22,0.91,-0.33,9.67,13326,0.48,9.94,185.8,-18.668558780687224,0.03,0.04
-19.83,0.72,0.74,9.5,13499,0.41,10.21,188.2,-19.252220697591532,0.09,0.1
-19.9,0.75,-2.0,9.51,11774,0.41,9.9,163.6,-18.936843998023388,0.11,0.11
-19.02,0.45,-0.57,9.26,12292,0.3,9.89,171.0,-17.64969647872578,0.05,0.06
-20.8,1.05,-0.41,9.94,12333,0.56,9.69,171.6,-19.488178677662546,0.06,0.06
-20.83,0.95,-0.57,10.21,12145,0.56,9.54,168.9,-19.474189272936595,0.05,0.05
-19.53,0.67,-1.98,9.3,13345,0.36,10.05,186.1,-18.549894780559942,0.11,0.1
-21.74,1.24,-0.11,10.42,12487,0.67,10.05,173.8,-20.898819408446965,0.13,0.13
-19.5,0.71,-0.6,9.44,9165,0.37,9.82,126.4,-17.948558780687225,0.04,0.06
-20.92,1.07,-0.57,10.23,11614,0.58,9.69,161.3,-19.450533337744705,0.04,0.05
-18.69,0.44,-0.57,8.95,11477,0.25,9.61,159.4,-17.305287216933905,0.05,0.06
-19.21,0.61,-0.55,9.1,11419,0.32,9.7,158.5,-18.24684399802339,0.11,0.11
-18.76,0.41,-0.48,9.0,11413,0.26,9.65,158.5,-17.523259395409735,0.07,0.07
-18.71,0.37,-0.57,8.96,9251,0.24,9.31,127.6,-17.97832596509295,0.15,0.15
-22.28,1.45,0.35,10.68,16250,0.77,10.2,227.6,-20.953429372344576,0.06,0.05
-20.17,0.75,-0.48,9.8,12980,0.44,9.86,180.9,-19.419738518874155,0.15,0.14
-20.59,1.01,-0.02,9.75,14008,0.52,10.07,195.6,-19.368549962953324,0.07,0.07
-19.46,0.58,-1.07,9.41,11600,0.35,9.52,161.2,-18.479894780559942,0.11,0.1
-21.13,1.26,0.16,9.79,12739,0.61,9.75,177.4,-19.75969647872578,0.05,0.05
-21.28,1.04,-0.57,10.33,16897,0.59,10.31,236.8,-20.762464576539188,0.21,0.19
-19.32,0.62,-0.57,9.26,12635,0.34,9.98,176.0,-18.02301551646208,0.06,0.06
-19.83,0.88,-0.61,9.43,12860,0.42,10.03,179.2,-18.488766573713576,0.06,0.06
-21.44,1.28,0.25,10.05,16746,0.65,10.4,234.7,-20.23393462688927,0.07,0.07
-19.19,0.47,-0.7,9.4,12930,0.32,9.67,180.2,-17.938061780218778,0.07,0.07
-19.6,0.66,-0.57,9.53,14722,0.39,10.09,205.8,-18.008557927321124,0.03,0.04
-19.18,0.57,-0.57,9.24,11297,0.32,9.75,156.9,-17.973934626889267,0.07,0.08
-21.95,1.27,-0.04,10.68,16480,0.71,9.75,230.9,-20.88683066148914,0.09,0.09
-18.9,0.45,-0.57,9.08,11311,0.27,9.26,157.1,-18.149738518874152,0.15,0.14
-19.89,0.7,-1.01,9.47,17270,0.39,10.08,242.2,-19.434196108015115,0.22,0.21
-21.53,1.31,-0.39,10.49,13531,0.67,10.03,188.8,-20.11671547737485,0.05,0.05
-21.01,0.99,0.45,10.17,13858,0.57,10.3,193.5,-20.222973150399916,0.14,0.13
-20.55,1.01,-0.38,9.75,14023,0.52,10.05,195.8,-19.080533337744704,0.04,0.04
-20.26,0.88,-0.51,9.81,16381,0.49,9.72,229.5,-18.60328006731191,0.03,0.04
-20.46,0.97,-0.45,9.64,16619,0.51,10.07,232.9,-19.17794093392834,0.06,0.06
-20.53,0.83,-0.57,10.15,14350,0.53,10.12,200.5,-18.886199992708015,0.03,0.03
-20.19,0.84,-0.61,9.57,9811,0.46,9.8,135.7,-19.143224162854537,0.1,0.1
-19.28,0.58,-0.57,9.25,12811,0.33,10.02,178.5,-18.33390891069939,0.11,0.11
-20.95,0.9,0.01,10.17,17195,0.54,10.08,241.2,-20.473449100978375,0.22,0.2
-21.0,1.08,-0.68,10.16,11397,0.6,9.64,158.3,-19.34328006731191,0.03,0.04
-21.49,1.15,-0.88,10.53,16127,0.65,9.98,225.9,-20.29941455250907,0.07,0.07
-21.38,1.04,-0.3,10.32,16564,0.61,10.04,232.2,-20.72408933883127,0.17,0.16
-18.34,0.27,-1.11,8.77,9526,0.2,9.6,131.6,-17.05794093392834,0.06,0.07
-21.07,1.18,-0.12,10.09,11295,0.61,9.89,156.9,-19.505153922833763,0.03,0.04
-18.9,0.47,-0.61,9.01,10959,0.28,9.62,152.1,-17.588178677662544,0.06,0.06
-19.58,0.73,-0.02,8.91,9960,0.35,9.81,137.8,-19.062464576539185,0.21,0.2
-16.97,0.0,-1.95,8.26,5165,0.0,8.45,71.8,-15.614189272936594,0.06,0.08
-18.86,0.4,-1.05,9.16,11109,0.27,9.54,154.3,-17.390533337744703,0.04,0.05
-19.5,0.64,-1.09,9.27,10850,0.35,9.59,150.6,-18.658819408446966,0.13,0.13
-20.76,1.06,0.02,9.93,17675,0.56,10.05,248.1,-19.290533337744705,0.04,0.04
-19.06,0.42,-0.98,9.15,8562,0.27,9.34,117.9,-18.754455918189375,0.29,0.27
-19.67,0.75,-0.57,9.36,10372,0.4,9.47,143.7,-18.118558780687227,0.03,0.04
-16.72,0.0,-0.57,8.12,4125,0.0,9.33,56.7,-15.54499092688566,0.08,0.11
-17.83,0.09,-0.57,8.74,6628,0.11,9.13,90.3,-17.252220697591532,0.19,0.18
-17.43,0.0,-2.61,8.42,5904,0.06,8.89,82.5,-16.05969647872578,0.05,0.07
-21.37,1.1,-0.2,10.26,13325,0.61,10.12,186.0,-20.675920658504303,0.16,0.15
-21.31,1.08,0.2,10.31,16770,0.61,10.25,235.2,-20.381091108918792,0.12,0.11
-19.55,0.67,-1.75,9.42,10973,0.38,9.72,152.4,-18.066682886805665,0.04,0.04
-20.27,0.87,-0.7,9.74,16872,0.47,9.84,236.7,-19.158285446846385,0.08,0.08
-20.95,0.98,-1.09,10.12,14269,0.56,9.9,199.5,-20.108819408446966,0.13,0.12
-20.36,0.94,0.42,9.55,14244,0.48,9.95,199.1,-19.413908910699387,0.11,0.1
-19.47,0.65,-0.97,9.27,6360,0.35,9.51,86.5,-18.473059700106578,0.1,0.11
-19.4,0.64,-0.82,9.34,11106,0.36,9.89,154.3,-17.769187034900774,0.03,0.04
-20.36,0.84,-0.39,9.95,6515,0.49,9.24,88.7,-18.98969647872578,0.05,0.07
-18.3,0.16,-1.62,9.03,6960,0.18,9.13,95.1,-17.823449100978376,0.22,0.21
-21.29,1.12,-0.07,10.24,13158,0.61,10.26,183.6,-20.378392216030225,0.12,0.11
-21.23,1.17,0.49,10.24,11386,0.63,9.42,158.3,-19.57328006731191,0.03,0.04
-20.37,0.86,-0.71,9.78,10820,0.47,9.47,150.2,-19.6012882506301,0.14,0.14
-17.71,0.07,-0.57,8.41,6934,0.1,9.43,94.7,-16.630543958936155,0.09,0.1
-20.5,0.83,-1.71,10.16,6190,0.52,9.09,86.6,-18.935153922833763,0.04,0.07
-17.4,0.0,-1.5,8.43,4083,0.06,8.6,56.0,-16.178549962953323,0.08,0.11
-20.51,0.78,-0.97,10.15,10797,0.5,9.96,149.9,-19.529894780559943,0.11,0.1
-21.91,1.35,0.29,10.48,13304,0.71,9.97,185.7,-20.73499092688566,0.08,0.08
-18.87,0.43,-0.57,9.03,10808,0.26,9.63,150.1,-18.119738518874154,0.15,0.14
-19.83,0.72,-0.57,9.5,10699,0.41,9.87,148.5,-18.702310951599458,0.09,0.1
-18.78,0.41,-0.99,9.05,6863,0.25,9.51,93.7,-17.992973150399916,0.14,0.14
-18.99,0.41,-0.57,9.14,7065,0.27,9.36,96.7,-18.534196108015113,0.23,0.22
-18.75,0.49,-0.73,8.78,7120,0.25,9.93,97.5,-17.85581388932046,0.12,0.12
-19.54,0.61,-2.59,9.25,13579,0.35,9.95,189.7,-18.922849805171186,0.18,0.17
-19.44,0.56,-0.98,9.42,10285,0.35,9.73,142.7,-18.563357820967077,0.12,0.12
-18.88,0.45,-1.47,9.1,8115,0.27,9.54,111.7,-17.768285446846384,0.09,0.09
-19.26,0.57,-0.99,9.25,11446,0.33,9.58,159.3,-17.948178677662547,0.06,0.06
-18.02,0.09,-1.01,8.91,6794,0.13,9.32,92.8,-17.73667828673249,0.3,0.29
-18.45,0.32,-2.34,8.89,6758,0.21,9.45,92.3,-17.6267406321435,0.13,0.13
-20.23,0.85,-0.51,9.58,13320,0.45,10.06,186.1,-19.479738518874154,0.15,0.14
-20.77,1.03,-0.53,9.87,13371,0.54,9.85,186.8,-19.723224162854535,0.09,0.09
-20.31,0.87,-0.58,9.86,10182,0.49,9.66,141.3,-18.85446095036834,0.04,0.05
-20.21,1.03,-0.04,9.41,13356,0.48,10.15,186.6,-18.566199992708015,0.03,0.04
-21.09,1.14,-0.05,9.93,13498,0.58,10.11,188.7,-20.23102573902481,0.13,0.12
-21.26,1.14,-0.33,10.35,13474,0.63,10.06,188.3,-19.74921008286668,0.04,0.04
-17.79,0.08,-2.59,8.71,5547,0.11,9.22,77.1,-16.948819408446965,0.13,0.14
-22.11,1.47,0.05,10.72,13122,0.75,9.53,183.3,-20.69671547737485,0.05,0.05
-17.99,0.08,-0.95,8.88,5147,0.15,8.77,71.3,-16.32042656856086,0.04,0.07
-19.61,0.64,-1.05,9.44,12995,0.38,9.96,181.5,-18.34295599407887,0.06,0.07
-19.64,0.75,-1.18,9.21,10290,0.37,9.91,142.9,-18.78102573902481,0.13,0.12
-20.66,0.99,-0.45,9.99,13131,0.54,9.96,183.5,-19.28969647872578,0.05,0.05
-19.03,0.46,-1.22,9.15,5239,0.29,9.17,72.7,-18.03305970010658,0.11,0.16
-19.23,0.52,-0.57,9.29,10300,0.32,9.7,143.0,-18.301091108918794,0.11,0.11
-18.49,0.23,-0.57,9.1,5236,0.22,8.78,72.7,-17.11969647872578,0.07,0.13
-19.8,0.78,-0.61,9.33,7976,0.41,9.19,109.8,-18.67231095159946,0.08,0.09
-19.46,0.67,-1.3,9.24,11472,0.36,9.72,159.8,-18.08969647872578,0.05,0.05
-18.13,0.06,-1.34,9.05,5205,0.15,9.31,72.1,-17.674196108015114,0.23,0.23
-18.72,0.3,-1.68,9.15,6165,0.24,9.32,86.1,-18.0259206585043,0.16,0.16
-18.36,0.27,-1.82,8.67,4854,0.18,9.28,67.0,-17.883449100978375,0.22,0.22
-20.65,0.95,-1.03,9.85,13130,0.51,9.75,183.5,-19.881288250630096,0.14,0.14
-18.2,0.18,-1.22,8.87,5403,0.17,8.67,74.9,-17.186337229729588,0.1,0.11
-20.89,1.0,-0.43,10.2,7849,0.57,9.6,108.1,-19.54876657371358,0.06,0.07
-19.25,0.6,-1.01,9.25,13106,0.33,9.72,183.2,-17.739210082866677,0.04,0.04
-19.74,0.65,-0.78,9.44,15178,0.38,9.99,212.8,-19.202221550957635,0.2,0.19
-21.3,1.25,0.32,9.76,15158,0.6,10.16,212.5,-20.56832596509295,0.15,0.15
-20.22,0.93,-1.06,9.57,15178,0.47,10.22,212.8,-19.07643788240281,0.08,0.08
-19.38,0.66,-0.82,9.18,13310,0.35,9.97,186.1,-17.92446095036834,0.04,0.05
-20.12,0.84,-0.49,9.73,15147,0.46,9.98,212.4,-18.74969647872578,0.05,0.05
-18.0,0.17,-1.95,8.75,7526,0.14,9.34,103.5,-17.32493215696735,0.16,0.16
-17.61,0.08,-1.73,8.52,7437,0.09,9.29,102.3,-16.41941455250907,0.08,0.09
-19.96,0.79,-0.57,9.4,9942,0.42,9.76,138.1,-19.154791252077217,0.14,0.13
-18.81,0.46,-1.11,8.97,8081,0.27,9.24,111.5,-17.24515392283376,0.04,0.05
-20.89,0.88,-0.87,10.29,9800,0.56,9.67,136.0,-19.778285446846386,0.09,0.09
-18.5,0.18,-0.38,9.21,7831,0.21,9.46,107.9,-17.882849805171187,0.18,0.17
-22.23,1.39,-0.31,10.81,13300,0.76,9.79,186.0,-20.94794093392834,0.06,0.06
-17.31,0.0,-0.57,8.53,4529,0.04,8.97,62.2,-16.854196108015113,0.23,0.23
-18.45,0.33,-2.68,8.9,4586,0.22,9.35,63.1,-16.79328006731191,0.04,0.08
-20.46,0.94,-0.32,9.79,13289,0.51,9.81,185.9,-19.133429372344576,0.06,0.06
-20.0,0.83,-0.55,9.59,9907,0.44,9.74,137.6,-18.793934626889268,0.07,0.07
-21.16,1.14,0.17,10.0,14229,0.59,10.0,199.3,-20.30102573902481,0.13,0.12
-19.65,0.79,-0.81,9.43,8899,0.4,9.74,122.8,-17.954916143125256,0.03,0.05
-16.76,0.0,-2.29,8.02,3293,0.0,8.85,44.5,-16.283449100978377,0.22,0.23
-20.09,0.84,-0.97,9.62,13234,0.46,9.76,184.8,-18.662551133535654,0.05,0.05
-19.77,0.77,-0.42,9.45,12995,0.41,9.74,181.6,-18.31446095036834,0.04,0.05
-20.4,0.92,-0.34,9.56,13025,0.49,9.79,181.9,-19.403059700106578,0.1,0.1
-19.26,0.71,-0.57,9.19,8333,0.33,9.84,114.8,-17.776682886805666,0.04,0.06
-18.94,0.46,-0.57,9.16,8005,0.28,9.53,110.1,-17.718549962953325,0.07,0.08
-17.05,0.0,-1.56,8.31,4883,0.01,9.21,67.4,-15.843934626889268,0.08,0.1
-16.61,0.0,-0.57,8.03,5026,0.0,9.15,69.5,-15.768819408446968,0.14,0.15
-19.01,0.47,0.84,9.18,5570,0.29,9.46,77.8,-17.72794093392834,0.07,0.08
-18.34,0.24,-0.57,8.92,5461,0.19,9.38,76.1,-17.14941455250907,0.08,0.09
-16.14,0.0,-2.91,7.81,2152,0.0,8.41,29.2,-15.109725872932918,0.12,0.19
-16.95,0.0,-0.57,8.44,2220,0.0,8.54,30.1,-16.199738518874153,0.16,0.21
-18.89,0.46,-1.27,9.02,4557,0.28,9.23,62.6,-17.534189272936597,0.06,0.1
-17.38,0.0,-1.59,8.49,7132,0.05,9.41,97.8,-16.70493215696735,0.17,0.16
-18.51,0.48,-0.57,8.61,10795,0.22,9.54,150.3,-17.288549962953326,0.07,0.08
-19.63,0.66,-0.72,9.48,8063,0.39,9.68,111.2,-18.146682886805664,0.04,0.06
-17.05,0.07,-0.57,8.19,11122,0.01,9.68,154.9,-15.738178677662546,0.06,0.07
-19.9,0.79,-0.53,9.44,13319,0.42,9.73,186.3,-18.70941455250907,0.07,0.07
-21.1,1.02,-1.28,10.1,16436,0.56,10.37,230.8,-20.644196108015116,0.23,0.21
-21.89,1.04,0.42,10.91,12188,0.7,10.37,170.2,-20.99581388932046,0.12,0.12
-16.73,0.0,-1.87,8.19,3680,0.0,8.73,49.9,-15.924791252077217,0.14,0.16
-20.25,0.92,-1.1,9.66,12699,0.47,10.02,177.6,-19.170543958936154,0.09,0.09
-20.79,1.0,-0.39,10.06,12593,0.56,9.97,176.1,-19.448766573713577,0.06,0.06
-20.01,0.85,-0.57,9.36,10400,0.43,9.92,144.8,-19.115813889320464,0.12,0.12
-21.17,1.28,-0.23,10.14,12305,0.62,9.84,172.0,-19.591820557895357,0.03,0.04
-18.76,0.18,-0.84,9.5,4905,0.26,9.44,67.6,-17.55393462688927,0.08,0.1
-20.13,0.78,-0.57,9.67,17067,0.46,10.02,239.2,-18.688466589240015,0.05,0.05
-19.29,0.39,-0.64,9.56,11539,0.31,9.56,160.3,-18.732141121714474,0.19,0.18
-19.61,0.69,-0.57,9.42,16106,0.39,10.34,225.9,-18.099210082866676,0.04,0.04
-16.27,0.0,-0.57,7.99,2423,0.0,8.7,32.9,-15.652849805171185,0.19,0.23
-20.14,0.75,-0.57,9.63,14664,0.43,10.11,204.9,-19.562220697591535,0.19,0.18
-22.64,1.46,-0.23,10.97,13970,0.81,9.86,195.0,-21.67684399802339,0.11,0.1
-19.71,0.82,-0.57,9.4,10048,0.4,9.66,139.0,-18.158558780687226,0.03,0.04
-20.1,0.93,-0.22,9.63,16551,0.46,10.22,232.0,-18.495365284569015,0.03,0.03
-18.74,0.46,-0.57,8.9,10179,0.25,9.67,140.9,-17.44301551646208,0.06,0.06
-19.34,0.59,-0.67,9.35,9806,0.35,10.01,135.6,-17.802035902274415,0.05,0.06
-20.29,0.93,-0.6,9.6,10636,0.47,9.95,147.5,-19.30989478055994,0.11,0.1
-19.43,0.61,-0.91,9.34,7087,0.35,9.53,96.8,-18.28643788240281,0.08,0.09
-20.72,0.85,-0.48,10.19,7027,0.52,9.59,95.9,-19.969738518874152,0.15,0.15
-21.11,1.18,0.5,9.97,14161,0.6,9.97,197.9,-19.754189272936596,0.05,0.05
-19.83,0.72,-0.57,9.5,3634,0.41,8.82,50.0,-18.833059700106578,0.09,0.1
-21.47,1.11,-0.98,10.48,11666,0.65,9.88,162.3,-20.27941455250907,0.07,0.07
-20.59,0.96,-0.27,9.84,14498,0.51,10.17,202.8,-19.784791252077216,0.14,0.13
-19.78,0.79,-0.7,9.48,9517,0.41,9.63,131.6,-18.162241894853654,0.03,0.04
-17.86,0.12,-1.35,8.73,8068,0.13,9.5,110.9,-16.44671547737485,0.05,0.07
-21.44,0.95,-0.39,10.46,12806,0.59,10.17,178.8,-21.11242934398399,0.28,0.26
-21.0,1.01,-0.57,10.26,12924,0.58,9.97,180.5,-19.778549962953324,0.07,0.07
-17.14,0.0,-0.57,8.23,5855,0.02,8.83,81.7,-15.872955994078872,0.07,0.09
-16.16,0.0,-0.57,7.94,3870,0.0,8.65,52.7,-14.581820557895355,0.05,0.11
-17.2,0.0,-2.57,8.47,2915,0.03,8.89,39.2,-16.13683066148914,0.11,0.16
-16.8,0.0,-1.68,8.22,3323,0.0,9.12,45.0,-15.38671547737485,0.07,0.13
-19.83,0.72,-0.57,9.5,12457,0.41,9.92,173.5,-19.272141121714473,0.09,0.1
-18.78,0.48,-1.42,8.94,14409,0.26,9.81,201.4,-17.310533337744705,0.05,0.05
-20.09,0.81,-0.65,9.55,14218,0.44,9.97,198.7,-19.248819408446966,0.13,0.12
-21.62,1.24,-0.51,10.56,10115,0.68,9.81,140.1,-20.192551133535655,0.05,0.06
-20.41,0.88,-0.5,9.95,13562,0.51,9.78,189.4,-18.727638816893936,0.03,0.03
-21.86,1.35,0.69,10.6,16099,0.72,9.9,225.7,-20.432551133535654,0.04,0.05
-17.41,0.15,-1.01,8.3,12427,0.06,9.72,173.3,-16.173259395409733,0.08,0.08
-15.21,0.0,-0.57,7.28,3103,0.0,8.33,42.2,-13.726682886805666,0.06,0.13
-22.5,1.56,-0.08,10.92,16430,0.81,9.97,230.5,-21.058466589240016,0.05,0.05
-18.31,0.31,-0.57,8.72,9148,0.19,9.67,126.5,-17.398392216030224,0.12,0.12
-19.83,0.72,-0.57,9.5,10820,0.41,9.51,150.7,-18.988819408446965,0.09,0.1
-19.83,0.72,-1.9,9.5,4952,0.41,8.57,68.7,-18.3605333377447,0.09,0.1
-18.74,0.47,-1.21,8.89,7176,0.26,10.26,98.3,-17.256682886805663,0.04,0.06
-20.82,0.97,0.53,10.15,11917,0.57,9.71,165.8,-19.309210082866677,0.04,0.04
-19.83,0.72,-0.92,9.5,7120,0.41,9.44,97.4,-18.388466589240014,0.09,0.1
-21.89,1.3,0.44,10.64,12514,0.72,10.08,174.1,-20.59301551646208,0.06,0.07
-17.78,0.01,-0.57,8.83,6103,0.12,9.57,85.3,-16.215153922833764,0.04,0.07
-17.11,0.0,-0.94,8.27,9615,0.02,9.4,132.9,-16.304791252077216,0.14,0.14
-20.77,1.02,-0.1,9.95,13687,0.55,10.0,191.0,-19.563934626889267,0.07,0.07
-19.78,0.8,-0.34,9.38,13789,0.41,10.06,192.5,-18.43876657371358,0.05,0.05
-19.16,0.59,-0.57,9.16,13885,0.32,10.18,193.9,-17.89295599407887,0.06,0.06
-18.08,0.28,-0.57,8.65,13524,0.16,10.03,188.7,-16.968285446846384,0.09,0.09
-18.33,0.24,-1.56,8.83,5026,0.19,9.0,69.9,-17.366843998023388,0.11,0.13
-20.59,0.89,-0.25,9.81,8170,0.49,10.06,112.4,-20.032141121714474,0.19,0.19
-19.88,0.8,-0.92,9.33,11645,0.41,10.11,162.0,-19.111288250630096,0.15,0.14
-16.0,0.0,-1.81,7.95,4956,0.0,9.06,68.7,-15.502872853137086,0.22,0.22
-19.39,0.63,-0.91,9.35,8265,0.36,9.71,113.7,-17.798557927321124,0.03,0.05
-19.64,0.76,-1.42,9.27,11610,0.38,9.95,161.6,-18.48066495941965,0.08,0.08
-21.82,1.35,0.07,10.48,16235,0.72,10.12,227.7,-20.255153922833763,0.03,0.04
-19.72,0.66,-0.92,9.46,8155,0.38,9.86,112.3,-18.932973150399913,0.14,0.14
-20.41,0.89,-0.62,9.73,8108,0.49,10.0,111.6,-19.498392216030226,0.12,0.12
-19.32,0.53,-1.26,9.35,8664,0.33,9.58,119.6,-18.25683066148914,0.09,0.1
-21.69,1.37,0.48,10.29,16335,0.69,10.25,229.3,-20.248466589240017,0.04,0.05
-15.42,0.0,-1.49,7.58,3848,0.0,8.98,52.4,-14.491091108918793,0.13,0.15
-19.7,0.75,-0.95,9.54,12884,0.4,9.8,180.0,-18.017638816893935,0.03,0.04
-20.51,0.98,-0.5,9.8,10181,0.52,9.75,141.5,-19.05446095036834,0.05,0.06
-16.77,0.0,-0.57,8.25,3675,0.0,8.76,49.9,-15.858392216030227,0.12,0.15
-20.23,0.89,-0.89,9.6,12809,0.47,10.02,179.0,-18.93301551646208,0.06,0.07
-20.57,1.02,-0.28,9.88,14341,0.53,9.72,201.0,-18.887638816893936,0.03,0.05
-21.39,1.19,-0.64,10.51,10216,0.66,10.12,142.0,-19.657132048600136,0.03,0.06
-16.95,0.0,-1.77,7.94,7397,0.0,9.1,101.8,-16.108819408446966,0.14,0.14
-22.34,1.31,0.47,10.82,12589,0.75,10.29,176.0,-21.534791252077216,0.14,0.14
-21.19,1.13,-0.12,10.06,14020,0.6,9.88,196.4,-20.295813889320463,0.12,0.12
-20.16,0.83,-0.73,9.75,12552,0.47,9.81,175.5,-18.568557927321123,0.03,0.05
-19.83,0.72,-0.57,9.5,4885,0.41,9.28,67.2,-18.26515392283376,0.09,0.1
-19.83,0.72,-0.57,9.5,6616,0.41,9.21,90.1,-18.702310951599458,0.09,0.1
-16.95,0.0,-0.57,8.27,8194,0.0,9.26,112.7,-15.466682886805664,0.05,0.06
-19.18,0.34,-0.82,9.64,10243,0.32,9.44,142.2,-17.601820557895355,0.04,0.06
-19.48,0.63,-0.25,9.4,13096,0.36,10.07,183.1,-18.18301551646208,0.06,0.07
-16.55,0.0,-0.57,8.01,4777,0.0,9.0,69.5,-15.359414552509072,0.09,0.15
-19.83,0.72,-0.57,9.5,4251,0.41,8.74,58.8,-18.65499092688566,0.09,0.1
-17.53,0.04,-1.48,8.44,6577,0.08,9.23,89.6,-16.37066495941965,0.08,0.09
-19.83,0.72,-1.43,9.5,5285,0.41,8.81,69.5,-19.17408933883127,0.09,0.1
-20.72,1.03,-0.05,9.92,10443,0.54,10.39,144.9,-19.673224162854538,0.09,0.09
-17.99,0.19,-2.16,8.79,6458,0.15,9.55,87.9,-16.42515392283376,0.04,0.06
-16.08,0.0,-1.61,7.85,5698,0.0,9.05,79.9,-15.049725872932916,0.11,0.12
-19.08,0.48,-0.67,9.16,5218,0.29,9.14,69.5,-18.238819408446965,0.14,0.19
-19.49,0.54,-0.65,9.32,6714,0.34,9.35,91.6,-19.097490627975837,0.25,0.24
-17.51,0.1,-0.57,8.57,5895,0.07,9.38,82.7,-16.16876657371358,0.06,0.08
-18.78,0.44,-0.57,9.01,5928,0.27,9.39,83.2,-17.072257888233892,0.03,0.06
-18.3,0.29,-1.24,8.85,5191,0.19,9.2,69.5,-17.032955994078872,0.08,0.15
-16.81,0.0,-0.57,8.4,4889,0.0,9.27,69.5,-16.041288250630096,0.16,0.19
-18.29,0.26,-0.57,8.82,5625,0.19,9.51,78.8,-16.978178677662545,0.06,0.08
-19.83,0.72,-0.57,9.5,5342,0.41,9.35,74.6,-18.702310951599458,0.09,0.1
-19.35,0.6,-1.47,9.36,6499,0.35,9.21,88.5,-17.812035902274417,0.04,0.07
-19.83,0.72,-1.44,9.5,5582,0.41,9.57,78.1,-18.12225788823389,0.09,0.1
-19.26,0.63,-0.57,9.09,5367,0.33,9.14,70.6,-18.008061780218778,0.11,0.15
-19.85,0.67,-0.65,9.67,6773,0.41,9.55,92.5,-18.738285446846387,0.09,0.1
-16.91,0.0,-2.39,8.3,5052,0.0,8.7,70.3,-15.568766573713578,0.06,0.09
-17.74,0.05,-2.19,8.7,6602,0.1,9.37,90.1,-17.202221550957635,0.2,0.2
-18.44,0.34,-1.27,8.87,6675,0.21,9.41,91.1,-16.998466589240017,0.05,0.07
-18.21,0.26,-1.39,8.83,4806,0.18,9.55,66.7,-16.898178677662546,0.06,0.09
-19.09,0.53,-0.89,9.21,10271,0.31,9.36,142.5,-17.734189272936597,0.05,0.06
-18.71,0.44,-1.8,8.93,10352,0.24,9.65,143.7,-17.959738518874154,0.15,0.14
-19.83,0.72,-2.73,9.5,6920,0.41,9.32,94.6,-18.21224189485365,0.09,0.1
-15.18,0.0,-0.57,7.74,2298,0.0,8.43,31.2,-14.338819408446968,0.15,0.2
-19.72,0.77,-0.52,9.43,10350,0.4,9.76,143.7,-18.335287216933907,0.05,0.06
-21.35,1.16,-0.41,10.45,12656,0.64,10.0,176.6,-19.97969647872578,0.05,0.05
-21.7,1.45,1.03,10.19,16217,0.7,10.17,227.5,-20.108557927321122,0.03,0.04
-21.15,1.11,-1.19,10.26,16980,0.62,10.19,238.4,-19.639210082866676,0.04,0.04
-21.3,1.07,-1.19,10.44,12490,0.63,9.88,174.3,-20.01794093392834,0.06,0.07
-19.83,0.72,-0.81,9.5,10650,0.41,9.47,148.1,-18.3605333377447,0.09,0.1
-20.34,0.97,-0.31,9.77,17555,0.5,10.08,246.7,-18.644916143125258,0.03,0.03
-17.31,0.0,-0.57,8.4,4626,0.04,8.76,63.8,-16.21436267267211,0.09,0.11
-15.19,0.0,-0.57,7.46,2324,0.0,8.34,31.4,-13.762551133535656,0.08,0.16
-16.52,0.1,-1.72,7.31,5098,0.0,9.15,70.7,-15.864089338831272,0.17,0.17
-19.83,0.72,-0.57,9.5,4195,0.41,9.05,57.6,-18.56295599407887,0.09,0.1
-21.44,1.12,0.81,10.31,13470,0.64,9.84,188.4,-20.393224162854537,0.1,0.09
-21.67,1.11,0.5,10.38,16879,0.64,10.38,237.1,-21.132221550957638,0.2,0.19
-20.52,0.91,-0.31,9.67,12992,0.5,9.95,181.6,-19.6967406321435,0.13,0.13
-20.27,0.9,-0.52,9.7,12467,0.48,9.99,174.1,-18.89969647872578,0.05,0.05
-19.13,0.42,-1.81,9.33,7575,0.3,9.6,104.2,-18.417052644415843,0.16,0.15
-18.91,0.45,-0.57,9.1,7877,0.28,9.4,108.5,-17.703934626889268,0.07,0.08
-19.85,0.85,-0.57,9.52,12360,0.41,9.93,172.6,-18.706437882402813,0.08,0.08
-20.11,0.84,-1.15,9.61,10787,0.45,9.66,150.1,-18.84295599407887,0.06,0.07
-19.92,0.72,-2.07,9.55,10859,0.42,9.81,151.2,-19.008392216030227,0.12,0.11
