iMAG,Ag,logSFR22,logMsT,RVel,Ai,logMHI,Dist,surface_brightness_proxy,e_logMsT,e_iMAG
-21.8,1.26,0.09,10.62,8171,0.71,10.06,112.0,-20.235153922833764,0.04,0.05
-20.77,1.08,-0.57,10.01,4952,0.55,10.09,70.0,-19.443429372344575,0.06,0.09
-21.49,1.26,0.04,10.29,4592,0.66,10.08,68.5,-20.178178677662544,0.2,0.48
-21.18,0.9,-0.09,10.45,7852,0.58,10.19,107.4,-20.58245774882375,0.18,0.18
-22.19,1.33,0.24,10.67,7022,0.74,9.75,95.6,-21.33102573902481,0.13,0.13
-22.18,1.23,-0.62,10.97,8125,0.75,10.14,111.3,-20.958549962953324,0.07,0.08
-21.23,1.07,0.28,10.35,4789,0.61,9.67,63.4,-20.118285446846386,0.2,0.46
-17.25,0.0,-2.01,8.55,1739,0.04,9.15,24.5,-15.865287216933906,0.09,0.21
-21.51,1.18,-0.09,10.46,4769,0.65,10.01,68.8,-20.51305970010658,0.11,0.16
-22.34,1.44,-0.31,10.79,10230,0.77,10.27,141.3,-21.309725872932916,0.1,0.1
-22.34,1.45,-0.13,10.84,6788,0.78,9.55,92.3,-21.133934626889268,0.07,0.09
-22.04,1.25,-1.44,10.76,8055,0.73,9.75,110.3,-20.89643788240281,0.08,0.09
-22.06,1.31,-0.4,10.82,6027,0.75,10.0,69.8,-20.632551133535653,0.17,0.43
-21.09,0.95,0.31,10.3,7437,0.56,9.59,101.5,-20.49245774882375,0.19,0.18
-21.76,1.21,-0.47,10.57,7912,0.69,9.41,108.3,-20.680543958936155,0.09,0.09
-19.21,0.55,-1.1,9.23,4507,0.32,9.37,55.0,-18.019414552509073,0.19,0.44
-19.87,0.68,-0.57,9.58,6347,0.4,9.66,65.2,-19.13832596509295,0.23,0.44
-22.25,1.36,0.28,10.71,7616,0.74,10.04,103.9,-21.462973150399915,0.14,0.14
-21.25,1.15,-0.05,10.31,4856,0.63,9.6,67.6,-19.671820557895355,0.06,0.14
-21.52,1.11,0.08,10.3,8479,0.63,10.08,116.0,-20.84493215696735,0.17,0.16
-20.19,0.82,-0.56,9.74,4759,0.47,9.88,67.1,-18.84876657371358,0.06,0.09
-18.8,0.41,-1.16,9.0,2026,0.26,9.16,28.4,-17.769725872932916,0.12,0.2
-19.83,0.72,-0.57,9.5,853,0.41,8.74,12.6,-18.702310951599458,0.09,0.1
-21.66,1.28,0.5,10.4,5018,0.68,9.65,73.6,-20.304189272936597,0.07,0.13
-18.69,0.47,-1.08,8.93,4683,0.25,9.95,66.0,-17.468549962953325,0.07,0.1
-19.15,0.47,-1.75,9.34,4535,0.31,10.05,63.9,-18.05436267267211,0.09,0.12
-22.43,1.47,-0.01,10.87,11843,0.79,9.93,164.1,-21.193259395409733,0.07,0.07
-17.68,0.02,-0.57,8.73,1678,0.1,8.76,23.6,-16.929738518874153,0.17,0.25
-19.22,0.4,-0.76,9.36,5833,0.3,9.35,73.8,-18.806213903806064,0.3,0.49
-22.34,1.31,0.35,10.8,5399,0.74,9.77,76.2,-21.722849805171187,0.18,0.18
-22.48,1.55,0.59,10.74,13316,0.79,10.02,185.2,-21.336437882402812,0.08,0.08
-20.64,0.91,0.21,9.86,4203,0.5,9.64,46.3,-20.04245774882375,0.26,0.48
-20.49,0.83,-0.21,9.87,5478,0.49,9.84,83.6,-19.7959206585043,0.23,0.45
-19.5,0.61,-1.76,9.32,4860,0.35,9.63,66.1,-18.82493215696735,0.24,0.45
-17.5,0.06,-1.53,8.46,4114,0.07,9.04,57.7,-16.173429372344575,0.07,0.1
-21.73,1.09,0.51,10.57,3967,0.65,9.98,58.6,-21.192221550957637,0.26,0.47
-19.83,0.72,-0.57,9.5,1135,0.41,8.91,16.2,-18.90109110891879,0.09,0.1
-22.17,1.42,-0.09,10.72,9089,0.75,9.59,125.1,-21.026437882402814,0.08,0.08
-14.17,0.0,-0.57,7.68,1006,0.0,8.18,14.5,-12.700533337744702,0.14,0.35
-19.83,0.72,-0.57,9.5,4670,0.41,9.53,65.8,-18.608549962953322,0.09,0.1
-19.83,0.72,-0.57,9.5,5693,0.41,9.55,80.3,-18.623934626889266,0.09,0.1
-20.18,0.91,-0.84,9.6,5643,0.47,9.93,93.8,-18.497638816893936,0.18,0.44
-21.12,1.01,0.78,10.19,5452,0.58,9.32,76.9,-20.38832596509295,0.15,0.16
-21.0,0.94,0.02,10.17,6042,0.55,9.82,84.3,-20.40245774882375,0.26,0.48
-20.15,0.78,-1.15,9.77,4831,0.45,9.83,58.6,-19.16989478055994,0.2,0.44
-19.85,0.68,-0.4,9.61,1155,0.41,8.85,18.2,-18.613259395409735,0.11,0.23
-20.85,0.87,-1.18,10.35,5542,0.54,9.58,78.2,-20.0267406321435,0.14,0.14
-21.2,1.19,0.12,10.34,5439,0.63,10.01,76.7,-19.556199992708013,0.04,0.07
-19.36,0.43,-1.13,9.53,5584,0.32,9.21,78.8,-18.862872853137088,0.21,0.21
-22.79,1.36,0.05,11.3,7181,0.85,9.63,94.3,-21.41969647872578,0.06,0.11
-19.84,0.7,-0.82,9.57,4462,0.41,9.69,58.6,-18.728285446846385,0.2,0.45
-22.83,1.49,0.37,10.94,10907,0.81,9.84,150.8,-22.117052644415843,0.16,0.15
-20.97,0.94,-0.43,10.26,5351,0.56,9.49,75.5,-20.128819408446965,0.13,0.14
-18.46,0.3,-0.43,8.98,5252,0.21,9.5,74.0,-17.41322416285454,0.1,0.11
-21.66,1.16,-0.19,10.46,5822,0.66,9.22,82.3,-20.783357820967076,0.13,0.13
-20.72,0.74,0.52,10.53,5439,0.52,9.62,76.6,-19.932973150399913,0.14,0.15
-19.65,0.81,-0.42,9.19,7818,0.38,10.18,106.8,-18.636337229729588,0.1,0.1
-20.47,0.9,-1.15,9.87,7620,0.5,9.97,103.9,-19.32643788240281,0.08,0.09
-16.43,0.0,-1.06,7.63,1144,0.0,9.02,16.1,-15.162955994078871,0.25,0.6
-21.83,1.24,-1.93,10.66,5511,0.71,9.34,77.5,-20.547940933928338,0.07,0.08
-20.53,0.87,-0.31,9.75,5713,0.49,9.64,67.6,-19.93245774882375,0.25,0.45
-21.58,1.27,-0.55,10.48,7697,0.67,9.71,105.0,-20.224189272936595,0.06,0.07
-21.75,1.37,0.17,10.47,5595,0.7,9.76,82.2,-20.239210082866677,0.06,0.12
-15.83,0.0,-1.99,7.8,1802,0.0,8.86,25.2,-15.079738518874155,0.17,0.26
-16.77,0.05,-1.15,8.63,5232,0.0,9.34,73.7,-15.626437882402811,0.09,0.1
-21.37,0.96,0.06,10.38,11833,0.6,10.27,164.0,-20.812141121714475,0.2,0.18
-21.03,1.07,-0.11,10.16,5709,0.59,9.73,70.2,-19.778061780218778,0.18,0.43
