lgMHI,lgMstar,NUVr,lgmust,lgSFR_tot_median,W50cor,INCL,lvir_ratB
9.49,9.786661,3.01,8.39,-0.46052617,197.0,59.9,-0.71270263
9.389,10.117,2.45,8.28,0.27876723,230.0,67.4,-3.1963863
8.768,10.591,4.9,9.13,-1.3233082,0.0,39.9,-4.24597
9.719,10.904,3.36,8.92,1.0903735,440.0,59.0,-3.64364
8.869,10.531,5.73,8.93,-1.488782,257.0,39.8,-0.9151096
9.244,10.225,3.15,8.33,-1.3625,121.0,25.3,-0.387488
8.73,10.524,5.88,9.37,-1.3325757,0.0,45.6,-0.9708757
9.286,11.147,6.13,9.19,-0.9819148,0.0,46.0,-0.9345524
9.72,10.433,3.14,8.61,-0.11497171,360.0,82.3,-3.314757
9.153,10.981,6.46,9.13,-1.0315068,0.0,61.5,-1.1752329
9.899,10.486,3.09,8.87,-1.289051,240.0,39.4,-3.572693
9.59,11.331,4.47,8.8,-0.8732877,123.0,35.5,-4.2602477
9.927,10.716,3.37,8.72,-0.14589752,419.0,84.2,-3.6304796
9.488,10.325,3.39,8.98,-1.4046052,294.0,48.9,-0.5635253
9.59,10.41,3.69,8.44,-0.15823914,260.0,61.2,-3.8289382
8.691,10.316,5.7,9.32,-1.3832417,0.0,59.9,-3.4634526
9.713,10.554,3.46,8.84,0.27165735,337.0,53.6,-4.01334
9.281,10.804,6.11,9.38,-1.1127737,285.0,45.2,-0.52926815
9.304,10.55,3.68,8.83,0.186905,402.0,62.3,-0.098804615
8.924,10.755,6.72,9.05,-1.1249999,0.0,53.5,-0.44834346
9.879,10.524,3.53,9.2,-0.16739865,330.0,61.8,-3.188792
9.104,10.948,6.17,9.44,-1.0265734,0.0,64.8,-3.4860306
9.984,11.13,3.01,8.9,0.3638211,198.0,22.9,-0.80563366
9.29,11.056,6.08,9.61,-0.79805166,0.0,43.9,-4.104666
9.13,10.917,5.41,9.39,-1.0822221,0.0,57.1,-0.806737
9.678,11.058,5.42,9.09,-1.1404108,423.0,44.3,-0.013459073
10.39,10.914,1.72,9.0,-0.53238076,394.0,40.1,-0.9028809
10.29,11.086,5.39,8.92,-0.5751878,509.0,90.0,-4.049254
9.88,10.374,2.66,8.6,-0.27088222,240.0,67.4,-4.0852
9.682,11.007,3.94,9.24,0.45775217,501.0,53.6,-1.296778
9.458,11.272,5.96,9.39,-1.0074468,0.0,31.4,-0.70565164
9.285,11.097,5.55,9.65,-0.75263155,0.0,63.3,-1.289708
10.44,11.169,2.84,8.64,-0.55360335,286.0,41.4,-0.6454711
9.373,11.001,4.4,8.8,-0.8238093,436.0,44.1,-0.09780879
10.07,10.842,3.03,8.66,-0.3177213,79.0,49.9,-0.42883602
