num_features,features,rmse,r2
8,"iMAG, e_iMAG, logMsT, logSFR22, Dist, Ag, Ai, surface_brightness_proxy",0.249817240280309,0.8006827700041957
7,"iMAG, e_iMAG, logMsT, logSFR22, Dist, Ag, surface_brightness_proxy",0.24983240458137707,0.8006585715284158
7,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag, surface_brightness_proxy",0.24983832007142454,0.8006491314704006
7,"iMAG, e_iMAG, logSFR22, e_logMsT, Dist, Ag, surface_brightness_proxy",0.24988142479461836,0.8005803373376349
7,"e_iMAG, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.24991731068332307,0.8005230552431892
8,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, surface_brightness_proxy",0.2499228244149588,0.8005142533361056
7,"iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag, surface_brightness_proxy",0.24994695317938498,0.8004757328292192
8,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.24996275034750687,0.8004505113335643
7,"iMAG, e_iMAG, logSFR22, e_logMsT, Dist, RVel, Ag",0.24999595574568345,0.8003974909508922
7,"logMsT, logSFR22, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.2500034029315969,0.8003855987654387
8,"iMAG, e_iMAG, logMsT, logSFR22, Dist, RVel, Ai, surface_brightness_proxy",0.2500330657302986,0.8003382276256729
8,"iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.2500337022057182,0.8003372111203422
7,"e_iMAG, logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.2501582976438373,0.8001381717849168
8,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag, surface_brightness_proxy",0.2501619062912329,0.8001324055475006
7,"e_iMAG, logMsT, logSFR22, Dist, RVel, Ai, surface_brightness_proxy",0.2501754505060885,0.800110762580637
6,"iMAG, logSFR22, e_logMsT, Dist, Ag, surface_brightness_proxy",0.2501872286318087,0.8000919407819054
7,"iMAG, e_iMAG, logMsT, logSFR22, Dist, RVel, surface_brightness_proxy",0.2502842180353058,0.7999369151096736
8,"iMAG, e_iMAG, logMsT, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.2503052293812779,0.7999033231303498
8,"iMAG, e_iMAG, logSFR22, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25032605650025674,0.7998700229017731
5,"iMAG, e_logMsT, Dist, RVel, Ag",0.25040512922859265,0.7997435692445198
7,"iMAG, logMsT, logSFR22, Dist, RVel, Ag, surface_brightness_proxy",0.25042357296685847,0.799714068145809
6,"iMAG, logSFR22, Dist, RVel, Ag, surface_brightness_proxy",0.25042759718602653,0.7997076310444409
5,"e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.25042820841736685,0.7997066533157566
7,"e_iMAG, logMsT, logSFR22, Dist, Ag, Ai, surface_brightness_proxy",0.25044771610403527,0.7996754474699287
6,"e_iMAG, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.2504533009680836,0.7996665130872718
6,"logSFR22, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25047954332473604,0.799624529226671
8,"iMAG, e_iMAG, logMsT, logSFR22, Dist, RVel, Ag, Ai",0.25048815463358054,0.7996107514570261
7,"iMAG, logSFR22, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.250498295771373,0.7995945254113563
7,"e_iMAG, logMsT, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.25049852782538035,0.7995941541121037
7,"e_iMAG, logSFR22, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.2505008182874544,0.7995904892275874
9,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.2505099480008937,0.7995758807743415
7,"e_iMAG, logSFR22, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25051865325393435,0.7995619510042685
